,,,,,,,,,,2019 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,,2:47:00,,Split Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cheapside,,Cuero 236,,Victoria,,Swinging Bridge (off Canal Rd),,Saltwater Barrier,,Seadrift,,,,,,,,,,,,,,,,,,,,,,,,
1,1st Unlimited,"Bill Torongo
Nick Walton
Andrew Condie
Ian Rolls
William Russell
Wade Binion
TC Jay Condie
TC Selena Milstead",150,9:00, ,11:05:00, ,13:54:00, ,16:38:00, ,19:55:00, ,0:18:00, ,3:18:00, ,5:02:00, ,9:51:00, ,14:05:00, ,16:42:00, ,19:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:05:00,2,2:49:00,2,2:44:00,3,3:17:00,2,4:23:00,1,3:00:00,1,1:44:00,1,4:49:00,1,4:14:00,3,2:37:00,5,2:45:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:05:00,1,4:54:00,1,7:38:00,1,10:55:00,2,15:18:00,1,18:18:00,1,20:02:00,1,24:51:00,1,29:05:00,1,31:42:00,1,34:27:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1st Tandem Unlimited,"Tommy Yonley
Jonathan Yonley
TC Peter Derrick
TC Jacob Southard",2,9:00, ,11:09:00, ,14:03:00, ,16:43:00, ,19:56:00, ,0:30:00, ,3:42:00, ,5:29:00, ,10:34:00, ,14:51:00, ,17:24:00, ,19:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,2:09:00,3,2:54:00,1,2:40:00,2,3:13:00,3,4:34:00,2,3:12:00,2,1:47:00,2,5:05:00,2,4:17:00,2,2:33:00,1,2:32:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,2:09:00,2,5:03:00,2,7:43:00,2,10:56:00,3,15:30:00,3,18:42:00,3,20:29:00,2,25:34:00,2,29:51:00,2,32:24:00,2,34:56:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2nd Unlimited,"Brad Daniels
Michael Matthews
Dylan McHardy
Phil Bowden
Michael Cade
Andrew McEwan (out at Cuero 766)
TC Jeff Kellington
TC Jeff Matthews",513,9:00, ,11:16:00, ,14:04:00, ,16:48:00, ,19:57:00, ,0:11:00, ,3:24:00, ,5:21:00, ,10:35:00, ,15:01:00, ,17:39:00, ,20:30:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,2:16:00,1,2:48:00,2,2:44:00,1,3:09:00,1,4:14:00,3,3:13:00,7,1:57:00,3,5:14:00,3,4:26:00,4,2:38:00,8,2:51:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4,2:16:00,3,5:04:00,3,7:48:00,3,10:57:00,1,15:11:00,2,18:24:00,2,20:21:00,3,25:35:00,3,30:01:00,3,32:39:00,3,35:30:00,,,,,,,,,,,,,,,,,,,,,,,
