,,,,,,,,,,2018 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,2:44:00,10,6:36:00,10,10:07:00,8,14:36:00,5,20:17:00,6,24:20:00,6,26:48:00,6,34:17:00,6,39:50:00,6,43:40:00,6,50:06:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2nd Solo Unlimited Man,"Phillip Rask
TC Stephen Rask
TC Rachel Rask",11,9:00, ,11:39:00, ,15:30:00, ,18:58:00, ,23:31:00, ,5:58:00, ,10:13:00, ,12:38:00, ,20:14:00, ,2:11:00, ,6:24:00, ,12:11:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:39:00,8,3:51:00,5,3:28:00,8,4:33:00,10,6:27:00,10,4:15:00,8,2:25:00,11,7:36:00,11,5:57:00,12,4:13:00,16,5:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8,2:39:00,8,6:30:00,7,9:58:00,7,14:31:00,9,20:58:00,10,25:13:00,9,27:38:00,9,35:14:00,10,41:11:00,10,45:24:00,7,51:11:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1st Mixed Tandem Unlimited,"Shannon Issendorf
Chris Issendorf
TC Kaitlyn Jiral
TC Kathy Jiral",5,9:00, ,11:37:00, ,15:25:00, ,18:56:00, ,23:20:00, ,5:35:00, ,9:49:00, ,12:09:00, ,19:27:00, ,1:11:00, ,5:31:00, ,13:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:37:00,7,3:48:00,7,3:31:00,6,4:24:00,8,6:15:00,9,4:14:00,5,2:20:00,7,7:18:00,7,5:44:00,15,4:20:00,59,8:06:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:37:00,6,6:25:00,6,9:56:00,6,14:20:00,7,20:35:00,7,24:49:00,7,27:09:00,7,34:27:00,7,40:11:00,7,44:31:00,8,52:37:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1st Standard,"Vance Sherrod
Wade Binion
TC Sandy Sherrod
TC Sam Binion",1995,9:00, ,11:51:00, ,15:59:00, ,19:42:00, ,0:35:00, ,7:14:00, ,11:51:00, ,14:33:00, ,22:25:00, ,4:37:00, ,8:31:00, ,13:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2:51:00,16,4:08:00,14,3:43:00,14,4:53:00,15,6:39:00,18,4:37:00,16,2:42:00,14,7:52:00,13,6:12:00,9,3:54:00,12,5:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,16,2:51:00,15,6:59:00,14,10:42:00,14,15:35:00,14,22:14:00,15,26:51:00,15,29:33:00,14,37:25:00,15,43:37:00,15,47:31:00,9,52:59:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4th Unlimited,"RD Kissling
Debbie Richardson
Jeff Wueste
Chris Stevenson
Bobby Smart
TC James Green
TC Karim Azziz",59,9:00, ,11:38:00, ,15:37:00, ,19:09:00, ,23:51:00, ,6:01:00, ,10:01:00, ,12:24:00, ,19:29:00, ,1:20:00, ,5:52:00, ,14:19:00,,,,,,,,,,,,,,,,,,,,,,,
