,,,,,,,,,,2016 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Split Plcemnt,,,1,2:47:00,,Split Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Overall Plcemnt,,,1,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cuero 766,,Cuero 236,,Victoria,,Dupont,,Saltwater Barrier,,Seadrift,,,,,,,,,,,,,,,,,,,,,,,,
1,1st Overall,"Kyle Mynar
Logan Mynar
Fred Mynar
Tommy Yonley
Phil Bowden
Jason Cade
TC - Joe Mynar
TC - Scott Goynes",1,9:00, ,11:04:00, ,13:44:00, ,16:14:00, ,19:22:00, ,23:24:00, ,2:15:00, ,3:50:00, ,8:12:00, ,11:55:00, ,14:11:00, ,16:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:04:00,1,2:40:00,2,2:30:00,1,3:08:00,1,4:02:00,2,2:51:00,2,1:35:00,1,4:22:00,1,3:43:00,1,2:16:00,3,2:22:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:04:00,1,4:44:00,1,7:14:00,1,10:22:00,1,14:24:00,1,17:15:00,2,18:50:00,1,23:12:00,1,26:55:00,1,29:11:00,1,31:33:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd Unlimited,"Chris Issendorf
Wade Binion
Clay Wyatt
Gaston Jones
Ian Rolls
Andrew Condie
TC - Jill Wyatt
TC - Jay Condie",150,9:00, ,11:04:00, ,13:45:00, ,16:14:00, ,19:23:00, ,23:26:00, ,2:16:00, ,3:48:00, ,8:16:00, ,12:05:00, ,14:27:00, ,16:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:04:00,2,2:41:00,1,2:29:00,2,3:09:00,2,4:03:00,1,2:50:00,1,1:32:00,2,4:28:00,2,3:49:00,2,2:22:00,4,2:28:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:04:00,2,4:45:00,1,7:14:00,2,10:23:00,2,14:26:00,2,17:16:00,1,18:48:00,2,23:16:00,2,27:05:00,2,29:27:00,2,31:55:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"3rd Unlimited
1st Masters","Amy Boyd
Bobby Smart
Debbie Richardson
Jeff Wueste
TC - Becky Haluska
TC - Sheila Torres-Blank",444,9:00, ,11:27:00, ,14:35:00, ,17:35:00, ,21:15:00, ,2:20:00, ,5:38:00, ,7:26:00, ,12:27:00, ,17:17:00, ,20:24:00, ,0:02:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:27:00,5,3:08:00,4,3:00:00,3,3:40:00,8,5:05:00,4,3:18:00,3,1:48:00,3,5:01:00,7,4:50:00,6,3:07:00,32,3:38:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,5,2:27:00,4,5:35:00,5,8:35:00,3,12:15:00,4,17:20:00,3,20:38:00,3,22:26:00,3,27:27:00,3,32:17:00,3,35:24:00,3,39:02:00,,,,,,,,,,,,,,,,,,,,,,,
