,,,,,,,,,,2017 TEXAS WATER SAFARI SPLITS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Legend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,, ,,13:59:00,,Time In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Split Placement,,,,2:47:00,,Split Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Overall Placement,,,,4:59:00,,Overall Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall Place,Recognition,Team Members,Boat #,,Staples,,Luling 90,,Palmetto,,Gonzales,,Hochheim,,Cheapside,,Cuero 236,,Victoria,,Swinging Bridge (off Canal Rd),,Saltwater Barrier,,Seadrift,,,,,,,,,,,,,,,,,,,,,,,,
1,1st Unlimited,"Andrew Condie
Chris Issendorf
Clay Wyatt
Gaston Jones
Ian Rolls
Jay Daniel
TC - Jill Wyatt
TC - Kristin Daniel",150,9:00, ,11:08:00, ,14:15:00, ,17:05:00, ,20:37:00, ,1:24:00, ,4:48:00, ,6:40:00, ,11:58:00, ,16:29:00, ,19:05:00, ,21:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:08:00,1,3:07:00,2,2:50:00,1,3:32:00,1,4:47:00,1,3:24:00,1,1:52:00,1,5:18:00,2,4:31:00,2,2:36:00,1,2:44:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:08:00,1,5:15:00,2,8:05:00,1,11:37:00,1,16:24:00,1,19:48:00,1,21:40:00,1,26:58:00,1,31:29:00,1,34:05:00,1,36:49:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1st Tandem Unlimited,"Jonathan Yonley
Tommy Yonley
TC - Scott Goynes
TC - Peter Derrick",2,9:00, ,11:08:00, ,14:16:00, ,17:02:00, ,20:44:00, ,1:42:00, ,5:28:00, ,7:30:00, ,13:32:00, ,18:38:00, ,21:11:00, ,23:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:08:00,2,3:08:00,1,2:46:00,2,3:42:00,2,4:58:00,6,3:46:00,3,2:02:00,5,6:02:00,7,5:06:00,1,2:33:00,2,2:47:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,2:08:00,2,5:16:00,1,8:02:00,2,11:44:00,2,16:42:00,2,20:28:00,2,22:30:00,2,28:32:00,2,33:38:00,2,36:11:00,2,38:58:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1st USCA C2,"Hener Cruz
Kyle Mynar
TC - Joe Mynar
TC - Renee Mynar",121,9:00, ,11:24:00, ,14:49:00, ,17:57:00, ,21:59:00, ,3:10:00, ,6:47:00, ,8:40:00, ,14:17:00, ,18:46:00, ,21:25:00, ,0:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,2:24:00,3,3:25:00,3,3:08:00,3,4:02:00,3,5:11:00,2,3:37:00,2,1:53:00,2,5:37:00,1,4:29:00,3,2:39:00,3,3:01:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3,2:24:00,3,5:49:00,3,8:57:00,3,12:59:00,3,18:10:00,3,21:47:00,3,23:40:00,3,29:17:00,3,33:46:00,3,36:25:00,3,39:26:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
